제목,관객수,개봉일
서울의 봄,13120000,2023.11.22
범죄도시3,10680000,2023.05.31
엘리멘탈,7240000,2023.06.14
스즈메의 문단속,5570000,2024.01.10
밀수,5140000,2023.07.26
더 퍼스트 슬램덩크,4880000,2023.01.04
가디언즈 오브 갤럭시: Volume 3,4200000,2023.05.03
미션 임파서블: 데드 레코닝 PART ONE,4020000,2023.07.12
콘크리트 유토피아,3840000,2023.08.09
아바타: 물의 길,10800000,2022.12.14
범죄도시2,12690000,2022.05.18
탑건: 매버릭,8230000,2022.06.22
아바타: 물의 길,10800000,2022.12.14
한산: 용의 출현,7260000,2022.07.27
공조2: 인터내셔날,6980000,2022.09.07
닥터 스트레인지: 대혼돈의 멀티버스,5880000,2022.05.04
헌트,4350000,2022.08.10
올빼미,3320000,2022.11.23
쥬라기 월드: 도미니언,2830000,2022.06.01
마녀(魔女) Part2. The Other One,2800000,2022.06.15
모가디슈,3610000,2022.09.07
이터널스,3050000,2021.11.03
블랙 위도우,2960000,2021.07.07
분노의 질주: 더 얼티메이트,2290000,2021.05.19
싱크홀,2190000,2021.08.11
극장판 귀멸의 칼날: 무한열차편,2180000,2022.04.21
베놈 2: 렛 데어 비 카니지,2120000,2021.10.13
소울,2040000,2021.01.20
크루엘라,1980000,2021.05.26
샹치와 텐 링즈의 전설,1740000,2021.09.01
남산의 부장들,4750000,2020.01.22
다만 악에서 구하소서,4350000,2020.10.28
반도,3810000,2020.07.15
히트맨,2400000,2020.01.22
테넷,2000000,2020.08.26
백두산,8250000,2019.12.19
#살아있다,1900000,2020.06.24
강철비2: 정상회담,1790000,2020.09.30
담보,1710000,2020.09.29
닥터 두리틀,1600000,2020.01.08
